priority,task_id,family,purpose,target,method,script,logical_training_units,session_split,description
10,C03_bam,cnn,fill_missing_core_baseline,table_05,bam,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C03_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-18 / 10ep
10,C03_lora_conv,cnn,fill_missing_core_baseline,table_05,lora_conv,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C03_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-18 / 10ep
10,C03_residual,cnn,fill_missing_core_baseline,table_05,residual,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C03_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-18 / 10ep
10,C03_sidetune,cnn,fill_missing_core_baseline,table_05,sidetune,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C03_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-18 / 10ep
20,C10_bam,cnn,fill_missing_core_baseline,table_12,bam,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C10_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 10ep
20,C10_lora_conv,cnn,fill_missing_core_baseline,table_12,lora_conv,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C10_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 10ep
20,C10_residual,cnn,fill_missing_core_baseline,table_12,residual,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C10_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 10ep
20,C10_sidetune,cnn,fill_missing_core_baseline,table_12,sidetune,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C10_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 10ep
30,C12_full,cnn,fill_missing_core_baseline,table_14_15,full,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C12_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Caltech101 / ResNet-18 / 10ep
30,C12_lora_conv,cnn,fill_missing_core_baseline,table_14_15,lora_conv,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C12_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Caltech101 / ResNet-18 / 10ep
